School_name,school_section,cca_grouping_desc,cca_generic_name,cca_customized_name
ADMIRALTY PRIMARY SCHOOL,PRIMARY,ART AND CRAFTS,CLUBS AND SOCIETIES,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,CHINESE DANCE,VISUAL AND PERFORMING ARTS,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,CHOIR,VISUAL AND PERFORMING ARTS,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,DESIGN AND INNOVATION,CLUBS AND SOCIETIES,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,"ENGLISH LANGUAGE, DRAMA AND DEBATING",CLUBS AND SOCIETIES,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,FOOTBALL,PHYSICAL SPORTS,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,GIRL GUIDES (BROWNIES),UNIFORMED GROUPS,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,GUITAR ENSEMBLE,VISUAL AND PERFORMING ARTS,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,GUZHENG ENSEMBLE,VISUAL AND PERFORMING ARTS,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,INDIAN DANCE,VISUAL AND PERFORMING ARTS,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,INFOCOMM TECHNOLOGY (COMPUTING),CLUBS AND SOCIETIES,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,MALAY DANCE,VISUAL AND PERFORMING ARTS,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,MODULAR CCA (SPORTS),PHYSICAL SPORTS,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,PHOTOGRAPHY,CLUBS AND SOCIETIES,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,ROPE SKIPPING,PHYSICAL SPORTS,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,SCOUTS,UNIFORMED GROUPS,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,TRACK AND FIELD,PHYSICAL SPORTS,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,WUSHU,PHYSICAL SPORTS,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),ART AND CRAFTS,CLUBS AND SOCIETIES,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),BADMINTON,PHYSICAL SPORTS,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),CONCERT BAND,VISUAL AND PERFORMING ARTS,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),DIGITAL MEDIA,CLUBS AND SOCIETIES,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),ENGLISH DRAMA,VISUAL AND PERFORMING ARTS,na
