postal_code,dist_to_cbd_m
560225,9283.1
560174,10143.1
560440,9065.4
560637,10643.7
560571,9481.1
560505,9992.4
560631,10577.1
560474,8685.4
560403,8496.8
560445,9133.4
560557,9660.3
560585,9521.1
560107,9732.0
560333,8497.1
560108,9672.2
560564,9480.3
560330,8617.5
560473,8707.8
560121,9472.1
560421,8945.7
560606,10610.8
560211,9427.1
560417,8907.3
560345,9178.3
560215,9137.9
560649,10351.1
560513,9776.0
560418,8900.5
560507,9945.1
560465,9057.8
560643,10354.0
560524,9829.8
560204,9200.3
560175,10210.3
560543,9944.8
560118,9976.1
560411,8735.0
560546,9878.3
560428,9343.3
560173,10181.3
560607,10702.8
560603,10723.3
560511,9849.7
560205,9156.8
560433,9247.7
560610,10618.3
560335,8703.8
560312,9038.6
560326,9138.2
560627,10820.0
563310,8892.5
561700,9462.9
562310,8910.1
560553,9764.1
560401,8473.1
560101,9574.7
560545,9821.3
560458,9121.6
560714,9592.4
560102,9618.2
560350,8770.7
563588,9665.3
563315,8812.5
560353,8798.4
562316,8882.8
562700,9413.8
460501,10300.9
460076,11198.9
460107,10833.9
470620,9221.6
460018,10104.7
461019,9195.6
461036,9402.3
460532,9878.1
461021,9131.1
460075,11188.5
470617,9029.3
470619,9157.7
470709,9724.4
460040,10641.0
460003,10004.5
461059,10862.9
460420,9860.1
460545,9538.5
470702,9517.4
470117,8222.5
470615,8921.2
460117,10960.9
462027,10282.6
460424,9767.5
461041,9577.7
470701,9543.5
460059,8885.9
460201,9715.3
460204,9915.4
460549,9886.7
460035,10693.8
460056,8939.9
460524,10434.5
460124,10944.5
470128,8621.6
470134,8669.0
470142,8914.3
470135,8677.7
460100,11182.9
470133,8558.8
460036,10527.9
460163,11297.9
460528,10149.4
470120,8297.8
461043,9585.8
460051,9278.1
460103,11017.4
460078,11027.2
460080,11062.1
460157,11165.1
460543,9467.9
470708,9405.2
460039,10650.1
460421,9903.1
470718,10101.2
410667,8405.3
470764,10945.3
460183,11089.7
460185,10977.1
463220,10252.1
461219,10169.2
463219,10168.8
470607,8572.0
460053,9055.0
460067,11002.8
470141,8908.9
461001,9261.3
470761,10829.7
470774,11122.0
464094,11335.6
470763,10916.2
462220,10294.6
470115,8178.1
470719,9996.5
410665,8370.0
460029,9267.5
570407,8932.6
570176,7054.9
570108,6893.2
570313,7559.1
570152,6763.2
570145,6679.4
570126,6824.8
570109,6893.4
570122,6891.6
570144,6793.6
570107,6856.6
570225,8205.0
570263,8287.0
570266,8188.8
570287,8156.8
570232,8174.5
570250,8564.7
570184,7252.6
570193,7096.7
570260,8371.8
570255,8582.5
570241,8465.4
570221,8114.2
570259,8402.1
570251,8590.0
570272,8001.2
570224,8239.1
570253,8645.3
572273,7962.6
571273,7989.3
570138,6632.7
570293,7960.3
570166,7112.2
570303,7357.8
570247,8517.2
570238,8366.4
570231,8072.2
570187,7202.5
650269,12457.6
650318,14357.4
650148,13942.1
650422,14553.6
650267,12403.3
650346,14146.2
650143,13999.9
650213,12980.0
650136,13940.2
650251,12757.5
650227,12977.0
650263,12582.3
650363,14168.0
650247,12751.8
650207,13242.4
650178,13883.5
650133,13971.5
650129,13861.5
650238,12966.6
650163,13993.5
650139,14017.1
650229,12863.4
650338,14189.1
650349,14207.8
650340,14281.4
650321,14340.1
650536,13634.4
650339,14193.6
650219,12756.9
650367,14080.9
650113,13791.2
650170,14153.8
650266,12422.2
654291,12566.1
650386,14071.6
650162,14055.5
650171,14106.8
650291,12456.2
650201,13356.3
650383,13990.4
650204,13268.8
650105,13591.5
650315,14356.4
650531,13750.3
650254,12636.7
650115,13678.7
650388,14168.8
650389,14205.0
650622,13586.7
650223,12966.4
650353,14165.3
650218,12828.0
650125,13773.2
650140,14044.1
650628,13506.6
650289,12097.8
650288,12134.1
651289,12058.4
090007,3620.1
152028,4633.7
100076,4870.4
160113,2888.3
090028,3586.0
163016,2228.6
160141,2635.3
090006,3723.0
160036,2720.9
090012,3633.6
100077,4873.5
160022,2548.9
080016,1699.2
167026,2931.5
161054,2516.6
161055,2534.3
102080,5091.8
090040,3413.1
090024,3558.7
152120,3202.3
100055,4514.0
090017,3367.4
090101,3187.6
101112,4817.8
151039,4614.4
080013,1622.4
162119,2687.4
151077,3803.4
164008,2371.1
165006,2295.0
103080,5057.2
101080,5122.5
150051,4350.4
150116,4046.2
101109,4671.8
151048,4509.0
163008,2686.9
150035,4743.8
160087,2192.6
151063,4039.7
151075,4032.1
152124,3142.9
151074,3923.0
164006,2238.1
163009,2512.4
670485,14560.9
670207,13029.0
670240,13765.1
670505,14445.6
670250,13684.0
670143,13779.0
670476,14481.2
670467,14251.0
670148,13855.4
670244,13848.4
670629,15239.4
670126,13607.9
670270,13316.7
670533,14783.6
670458,14511.0
670173,14139.9
670486,14573.4
672633,15187.2
670171,14089.7
670185,14429.3
670120,13699.7
670140,13609.3
670447,14071.3
670442,14021.9
670449,14101.0
670623,14996.9
670537,14732.6
670515,14805.3
670627,15150.8
670536,14719.7
670501,14398.2
670166,14038.6
670154,13850.0
670606,14644.5
670484,14497.6
670452,14230.3
670655,14932.6
670135,13499.8
670513,14756.2
670607,14728.4
670543,14546.4
260002,6132.3
590012,10592.6
590002,10392.0
180009,2092.3
081005,1301.2
050533,662.8
180263,1563.7
211671,2693.8
200634,2418.6
080334,1051.3
085401,1379.8
085201,1330.6
085601,1469.8
085101,1368.7
