postal_code,num_unique_hawker_500m,num_unique_hawker_1km,walking_dist_hawker_m
560406,1,3,297.0
560314,1,5,468.0
561308,2,4,598.0
560323,2,6,685.0
560174,1,4,331.0
560170,1,5,396.0
560172,1,5,360.0
560510,1,3,508.0
560508,1,2,561.0
563310,1,4,435.0
560319,1,5,396.0
560333,2,3,611.0
560216,2,5,272.0
560332,2,3,632.0
560215,2,5,215.0
560218,2,4,434.0
560331,1,3,463.0
560321,1,5,283.0
563307,1,4,540.0
560208,2,4,470.0
560320,1,5,386.0
560220,2,5,262.0
560219,2,5,209.0
560330,2,3,545.0
562308,1,4,539.0
560225,2,3,276.0
560457,1,5,569.0
560557,2,2,618.0
560559,2,3,613.0
560435,1,5,361.0
560444,2,4,433.0
560416,2,4,342.0
560473,1,3,237.0
560468,2,4,382.0
560542,1,2,654.0
560534,1,3,322.0
560432,1,5,420.0
560419,2,4,504.0
560463,1,3,317.0
560558,1,2,732.0
560541,1,2,410.0
560550,1,2,583.0
560475,1,3,166.0
560476,1,4,568.0
560465,2,3,354.0
560474,1,4,525.0
560556,2,2,537.0
560442,2,4,460.0
560404,1,3,199.0
560575,2,3,461.0
560536,1,3,347.0
560441,2,4,603.0
560561,2,3,521.0
560456,1,4,400.0
560417,2,4,376.0
560445,2,4,404.0
560403,1,3,313.0
560433,1,5,317.0
560577,2,2,311.0
560418,2,4,466.0
560421,2,4,651.0
560471,1,3,302.0
560549,1,2,491.0
560540,1,2,673.0
560466,2,4,412.0
560443,2,4,491.0
560405,1,3,338.0
560408,1,3,269.0
560447,1,4,266.0
560576,2,4,284.0
560560,1,2,688.0
560122,1,5,621.0
560119,1,5,477.0
560120,1,5,472.0
560585,1,5,488.0
560301,1,4,789.0
560322,2,6,632.0
560232,2,3,402.0
560328,1,6,574.0
560346,1,5,606.0
560127,1,5,513.0
560213,2,5,250.0
560425,0,5,656.0
560345,1,5,698.0
560571,2,4,436.0
560129,2,5,760.0
560313,1,5,526.0
560424,0,5,776.0
560235,2,3,434.0
560302,1,4,810.0
560570,2,3,363.0
560230,2,3,386.0
560348,1,6,466.0
560329,1,4,629.0
560201,1,5,595.0
560121,2,5,630.0
560343,1,5,829.0
560211,2,5,439.0
560103,3,4,649.0
560202,1,5,634.0
560214,2,5,149.0
560133,1,5,616.0
560586,2,5,407.0
560130,2,5,821.0
560128,1,5,524.0
560422,0,5,745.0
560584,2,5,352.0
560212,2,5,395.0
560624,1,2,170.0
560118,1,4,602.0
560108,3,4,785.0
560156,1,5,232.0
560255,0,4,970.0
560155,1,4,316.0
560607,1,2,324.0
560107,1,4,639.0
560629,1,2,331.0
560644,1,3,371.0
560157,1,5,271.0
560631,1,2,363.0
560178,1,3,435.0
560109,2,4,586.0
560632,1,2,253.0
560163,1,5,249.0
