postal_code,walking_dist_m,num_malls_1km,num_malls_2km
560225,1424,0,4
560174,1461,1,3
560440,1059,2,5
560637,1281,0,3
560571,899,2,4
560505,696,3,4
560631,1359,0,3
560474,1541,1,5
560403,1375,0,5
560445,1246,1,5
560557,1539,0,4
560585,735,3,4
560107,1364,1,4
560333,1329,1,5
560108,1381,1,4
560564,1273,1,4
560330,1222,1,5
560473,1612,1,5
560121,532,3,3
560421,874,2,5
560606,1866,0,3
560211,808,3,3
560417,1166,1,5
560345,422,3,5
560215,981,3,5
560649,870,2,3
560513,491,3,4
560418,1063,1,5
560507,688,3,4
560465,1372,1,5
560643,1210,1,3
560524,940,3,4
560204,727,3,4
560175,1487,0,3
560543,1517,1,4
560118,1521,0,3
560411,1376,0,5
560546,1447,0,4
560428,869,3,4
560173,1528,0,3
560607,1725,0,3
560603,1991,0,3
560511,559,3,4
560205,761,3,5
560433,953,2,4
560610,1705,0,3
560335,1092,1,5
560312,602,3,5
560326,469,3,5
560627,1528,0,3
563310,973,3,5
561700,315,3,3
562310,986,3,5
560553,1417,0,4
560401,1477,0,5
560101,1040,3,4
560545,1357,2,4
560458,1037,1,4
560714,441,3,3
560102,1082,2,3
560350,1033,2,5
563588,974,3,4
563315,994,3,5
560353,1188,2,5
562316,1005,3,4
562700,315,3,3
460501,836,2,2
460076,1604,0,2
460107,1330,0,2
470620,2106,0,2
460018,1035,2,2
461019,1007,2,2
461036,539,2,2
460532,1214,1,2
461021,1012,2,2
460075,1594,0,2
470617,1965,0,2
470619,2041,0,2
470709,1755,0,2
460040,1630,0,2
460003,728,2,2
461059,1447,0,2
460420,285,2,2
460545,912,2,2
470702,2140,0,2
470117,2632,0,0
470615,1936,0,2
460117,1369,0,2
462027,714,2,2
460424,473,2,2
461041,530,2,2
470701,2155,0,2
460059,1253,1,2
460201,180,2,2
460204,137,2,2
460549,889,2,2
460035,1483,0,2
460056,1280,0,2
460524,1212,1,2
460124,1369,0,2
470128,2544,0,0
470134,2360,0,0
470142,2501,0,0
470135,2418,0,0
460100,1763,0,4
470133,2458,0,0
460036,1405,0,2
460163,2552,0,0
460528,1174,1,2
470120,2743,0,0
461043,642,2,2
460051,975,2,2
460103,1560,0,3
460078,1482,0,2
460080,1507,0,2
460157,2496,0,2
460543,1010,2,2
470708,2102,0,2
460039,1684,0,2
460421,328,2,2
470718,1665,0,2
410667,2887,0,0
470764,1799,0,2
460183,1571,0,2
460185,1432,0,2
