postal_code,num_unique_mrt_500m,num_unique_mrt_1km,num_unique_mrt_lines_500m,num_unique_mrt_lines_1km,walking_dist_mrt_m
560225,1,2,1,1,609
560174,1,2,1,1,348
560440,0,1,0,1,789
560637,1,3,1,2,526
560571,0,1,0,1,602
560505,0,2,0,1,790
560631,0,3,0,2,721
560474,0,0,0,0,1464
560403,0,0,0,0,1185
560445,0,1,0,1,976
560557,0,1,0,1,1242
560585,1,1,1,1,438
560107,1,2,1,1,55
560333,0,1,0,1,1191
560108,1,2,1,1,196
560564,0,0,0,0,1247
560330,0,1,0,1,1098
560473,0,0,0,0,1408
560121,0,2,0,2,713
560421,0,1,0,1,671
560606,1,3,1,2,658
560211,0,2,0,2,694
560417,0,1,0,1,963
560345,1,1,1,1,329
560215,0,3,0,2,846
560649,1,3,1,2,614
560513,1,1,1,1,520
560418,0,1,0,1,860
560507,0,2,0,1,727
560465,0,1,0,1,1102
560643,0,3,0,2,657
560524,0,1,0,1,886
560204,0,2,0,2,845
560175,1,2,1,1,374
560543,0,1,0,1,1246
560118,1,1,1,1,235
560411,0,1,0,1,1173
560546,0,1,0,1,1165
560428,0,1,0,1,599
560173,1,2,1,1,319
560607,1,3,1,2,480
560603,1,2,1,1,530
560511,1,1,1,1,587
560205,0,2,0,2,879
560433,0,1,0,1,683
560610,1,3,1,2,608
560335,0,1,0,1,968
560312,1,1,1,1,643
560326,1,1,1,1,519
560627,2,2,2,2,668
563310,0,1,0,1,1085
561700,1,1,1,1,466
562310,0,1,0,1,1098
560553,0,1,0,1,1120
560401,0,0,0,0,1286
560101,1,2,1,1,407
560545,0,1,0,1,1076
560458,0,0,0,0,1344
560714,1,1,1,1,588
560102,1,2,1,1,352
560350,0,1,0,1,909
563588,1,1,1,1,813
563315,0,1,0,1,994
560353,0,1,0,1,1050
562316,0,1,0,1,1005
562700,1,1,1,1,448
460501,0,2,0,2,852
460076,1,1,1,1,644
460107,0,1,0,1,759
470620,1,2,1,1,79
460018,0,1,0,1,988
461019,0,2,0,2,1152
461036,1,1,1,1,627
460532,0,2,0,1,947
461021,0,2,0,2,1013
460075,1,1,1,1,638
470617,1,2,1,1,266
470619,1,2,1,1,196
470709,1,1,1,1,748
460040,0,2,0,2,1116
460003,1,1,1,1,681
461059,0,1,0,1,776
460420,1,1,1,1,555
460545,0,2,0,2,1080
470702,1,1,1,1,340
470117,1,2,1,1,466
470615,1,2,1,1,414
460117,0,2,0,2,1164
462027,0,1,0,1,667
460424,0,1,0,1,743
461041,0,1,0,1,755
470701,1,1,1,1,398
460059,0,2,0,1,1090
460201,1,1,1,1,437
460204,1,1,1,1,298
460549,0,3,0,2,1148
460035,0,2,0,2,1098
460056,0,2,0,2,1707
460524,1,1,1,1,497
460124,0,1,0,1,1098
470128,1,2,1,1,473
470134,1,2,1,1,661
470142,1,2,1,1,543
470135,1,2,1,1,610
460100,0,1,0,1,808
470133,1,2,1,1,557
460036,0,1,0,1,1179
460163,0,2,0,2,872
460528,0,2,0,1,866
470120,1,2,1,1,534
461043,0,2,0,2,867
460051,0,2,0,2,1233
460103,0,1,0,1,819
460078,0,1,0,1,726
460080,0,1,0,1,843
460157,0,2,0,2,683
460543,0,2,0,2,1039
470708,1,1,1,1,167
460039,0,2,0,2,1226
460421,1,2,1,2,598
470718,0,2,0,1,1102
410667,1,2,1,1,194
470764,1,1,1,1,275
460183,1,1,1,1,547
460185,0,1,0,1,681
463220,1,1,1,1,659
461219,1,1,1,1,546
463219,1,1,1,1,500
470607,0,2,0,1,799
460053,0,1,0,1,1453
460067,0,2,0,2,670
470141,2,2,1,1,570
461001,0,2,0,2,1412
470761,1,1,1,1,81
470774,1,2,1,1,449
464094,0,2,0,2,1169
470763,1,1,1,1,225
462220,0,1,0,1,662
470115,1,2,1,1,548
470719,0,2,0,1,1045
410665,1,1,1,1,250
460029,0,1,0,1,710
570407,1,3,1,1,88
570176,0,1,0,2,733
570108,1,3,2,2,514
570313,2,2,2,2,472
570152,0,2,0,2,997
570145,0,2,0,2,1087
570126,0,2,0,2,737
570109,1,3,2,2,551
570122,1,2,2,2,604
570144,0,2,0,2,853
570107,1,3,2,2,595
570225,0,1,0,2,1092
570263,0,0,0,0,1428
570266,0,0,0,0,1375
570287,0,1,0,2,1241
570232,0,1,0,2,1060
570250,0,0,0,0,1556
570184,1,1,2,2,347
570193,1,2,2,2,411
570260,0,0,0,0,1206
570255,0,0,0,0,1167
570241,0,0,0,0,1657
570221,0,1,0,2,932
570259,0,0,0,0,1257
570251,0,0,0,0,1490
570272,0,2,0,2,1472
570224,0,1,0,2,1116
570253,0,0,0,0,1221
572273,0,2,0,2,1199
571273,0,2,0,2,1156
570138,0,2,0,2,1008
570293,0,1,0,2,921
570166,0,2,0,2,772
570303,1,2,1,2,205
570247,0,0,0,0,1230
570238,0,0,0,0,1232
570231,0,1,0,2,896
570187,1,1,2,2,272
650269,0,0,0,0,1357
650318,0,1,0,1,727
650148,0,1,0,1,779
650422,0,1,0,1,959
650267,0,0,0,0,1433
650346,1,1,1,1,480
650143,0,1,0,1,778
650213,1,1,1,1,609
650136,0,1,0,1,695
650251,0,1,0,1,1101
650227,1,1,1,1,546
650263,0,0,0,0,1367
650363,1,1,1,1,505
650247,0,1,0,1,1116
650207,1,1,1,1,367
650178,0,1,0,1,892
650133,0,1,0,1,739
650129,1,1,1,1,613
650238,0,1,0,1,743
650163,0,1,0,1,921
650139,0,1,0,1,796
650229,0,1,0,1,690
650338,1,1,1,1,580
650349,1,1,1,1,574
650340,0,1,0,1,672
650321,0,1,0,1,694
650536,1,2,1,1,476
650339,1,1,1,1,559
650219,0,1,0,1,860
650367,1,1,1,1,379
650113,1,1,1,1,553
650170,0,1,0,1,1455
650266,0,0,0,0,1441
654291,0,1,0,1,1094
650386,0,1,0,1,622
650162,0,1,0,1,1077
650171,0,1,0,1,1380
650291,0,1,0,1,1231
650201,1,1,1,1,420
650383,1,1,1,1,432
650204,1,1,1,1,207
650105,1,1,1,1,278
650315,0,1,0,1,761
650531,1,2,1,1,394
650254,0,1,0,1,1238
650115,1,1,1,1,364
650388,0,1,0,1,707
650389,0,1,0,1,763
650622,1,2,1,1,406
650223,1,1,1,1,550
650353,1,1,1,1,526
650218,0,1,0,1,775
650125,1,2,1,1,582
650140,0,1,0,1,837
650628,1,2,1,1,328
650289,0,0,0,0,1568
650288,0,0,0,0,1578
651289,0,0,0,0,1618
090007,0,0,0,0,1655
152028,0,2,0,1,1055
100076,1,2,1,1,591
160113,0,1,0,1,857
090028,0,1,0,2,1730
163016,2,4,2,3,329
160141,0,1,0,1,1335
090006,0,0,0,0,1532
160036,1,3,1,2,505
090012,0,0,0,0,1697
100077,1,2,1,1,514
160022,1,3,1,2,669
080016,0,3,0,3,669
167026,1,1,1,1,529
161054,2,3,2,2,774
161055,3,3,2,2,781
102080,1,2,1,1,631
090040,0,1,0,2,1262
090024,0,0,0,0,1823
152120,0,2,0,1,797
100055,1,1,1,1,662
090017,0,0,0,0,1434
090101,0,1,0,2,1068
101112,0,0,0,0,1709
151039,0,2,0,1,922
080013,1,3,3,3,564
162119,0,2,0,2,700
151077,1,1,1,1,161
164008,2,3,2,2,408
165006,2,4,2,3,408
103080,1,2,1,1,627
101080,1,2,1,1,703
150051,0,2,0,1,698
150116,0,1,0,1,1083
101109,0,0,0,0,1901
151048,0,2,0,1,848
163008,1,2,1,2,370
150035,0,2,0,1,1335
160087,2,3,1,2,234
151063,1,1,1,1,209
151075,1,1,1,1,302
152124,1,2,1,1,580
151074,1,1,1,1,210
164006,2,4,2,3,315
163009,1,3,1,2,311
670485,2,4,1,1,339
670207,1,3,1,1,584
670240,2,6,1,2,238
670505,3,8,1,2,500
670250,1,5,1,1,242
670143,2,7,1,2,237
670476,1,3,1,1,564
670467,2,3,1,1,578
670148,2,7,2,2,329
670244,2,5,1,1,201
670629,0,4,0,2,652
670126,3,6,1,2,239
670270,2,4,1,1,403
670533,2,7,1,2,320
670458,2,4,1,1,306
670173,2,9,2,2,323
670486,1,3,1,1,402
672633,1,4,1,2,632
670171,2,8,2,2,224
670185,3,6,2,2,101
670120,3,6,1,2,356
670140,2,5,1,2,433
670447,2,6,1,1,261
670442,2,7,1,1,347
670449,2,6,1,1,225
670623,2,6,1,2,378
670537,2,7,1,2,299
670515,2,4,1,1,281
670627,1,4,1,2,533
670536,2,7,1,2,406
670501,2,8,1,2,578
670166,2,8,2,2,177
670154,2,6,2,2,488
670606,3,5,2,2,266
670484,2,4,1,1,398
670452,2,4,1,1,261
670655,1,5,1,2,135
670135,2,5,1,2,505
670513,2,4,1,1,224
670607,2,5,2,2,182
670543,3,8,2,2,291
260002,1,2,1,2,94
590012,1,1,1,1,529
590002,1,2,1,1,191
180009,3,8,2,5,491
081005,3,6,3,4,471
050533,4,10,3,5,52
180263,3,9,3,5,259
211671,2,5,2,3,315
200634,2,7,1,3,273
080334,3,8,4,5,314
085401,3,6,3,4,393
085201,3,6,3,4,299
085601,2,5,3,4,569
085101,3,6,3,4,237
681166,0,6,0,3,886
680110,2,5,1,2,345
680574,1,2,1,2,483
680571,1,2,1,2,550
684684,0,1,0,1,957
681687,0,1,0,1,912
681692,0,1,0,1,772
681686,0,1,0,1,942
680427,0,2,0,2,753
