school_name,address,postal_code,nature_code,sap_ind,autonomous_ind,gifted_ind,P1_demand,P2A_demand,P2B_demand,P2C_demand,P2CS_demand,subject_count,distprog_count,cca_clubs,cca_others,cca_sports,cca_uniformed,cca_arts,affiliation_count,top_psle_score,school_score,school_tier,total_cca,lat,lon
NANYANG PRIMARY SCHOOL,52 KING'S ROAD   ,268097,CO-ED SCHOOL,1,0,1,0.54,1.21,2.29,1.84,0.0,15,2,8,2,8,4,8,1,1,4.199362251397992,Tier 1,30,1.32084749904532,103.807750155296
CATHOLIC HIGH SCHOOL,9 BISHAN STREET 22   ,579767,BOYS' SCHOOL,1,1,1,0.4,1.29,1.81,1.48,0.0,48,2,3,0,17,5,8,1,1,4.1489771549317584,Tier 1,33,1.35452517065756,103.844900804804
CHIJ ST. NICHOLAS GIRLS' SCHOOL,501 ANG MO KIO STREET 13   ,569405,GIRLS' SCHOOL,1,1,0,0.45,1.29,2.19,1.73,0.0,46,2,11,0,8,4,11,1,1,3.8718665730200623,Tier 1,34,1.37347687878916,103.834253269436
TAO NAN SCHOOL,49 MARINE CRESCENT   ,449761,CO-ED SCHOOL,1,0,1,0.54,1.02,2.7,1.81,0.0,15,2,4,0,8,4,6,0,0,3.0664951000877028,Tier 1,22,1.2943321052493,103.849026157822
NAN HUA PRIMARY SCHOOL,30 Jalan Lempeng   ,128806,CO-ED SCHOOL,1,0,1,0.62,1.49,1.86,4.4,0.0,15,2,8,0,6,2,4,0,0,2.960969849823806,Tier 1,20,1.31920159956387,103.761095065761
AI TONG SCHOOL,100 Bright Hill Drive   ,579646,CO-ED SCHOOL,1,0,0,0.53,1.19,2.67,1.98,0.0,14,2,4,0,6,2,5,0,1,2.9594398189727036,Tier 1,17,1.3605834338904,103.833020333986
ANGLO-CHINESE SCHOOL (PRIMARY),50 BARKER ROAD   ,309918,BOYS' SCHOOL,0,0,1,0.35,0.77,1.73,1.32,0.0,32,0,7,0,18,2,2,2,1,2.544131362846481,Tier 1,29,1.31837054523521,103.835609732354
MARIS STELLA HIGH SCHOOL,25 MOUNT VERNON ROAD   ,368051,BOYS' SCHOOL,1,1,0,0.36,0.8,1.48,1.65,0.0,52,2,12,1,14,4,6,1,0,2.5249124564293495,Tier 1,37,1.34138832211757,103.877823816158
ROSYTH SCHOOL,21 Serangoon North Avenue 4   ,555855,CO-ED SCHOOL,0,0,1,0.63,1.42,1.34,3.2,0.0,25,2,10,0,8,2,6,0,1,2.4576997309696877,Tier 1,26,1.37289067499064,103.875001549174
HOLY INNOCENTS' PRIMARY SCHOOL,5 Lorong Low Koon   ,536451,CO-ED SCHOOL,1,0,0,0.52,1.08,2.46,2.53,0.0,14,4,7,0,6,2,4,1,0,2.435741633158929,Tier 1,19,1.36693830877349,103.894114899795
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,7 PEI WAH AVENUE   ,597610,CO-ED SCHOOL,1,0,0,0.64,1.93,1.78,1.91,0.0,13,2,5,0,5,2,7,0,0,2.0682766096302587,Tier 1,19,1.33805634613048,103.776106448614
HENRY PARK PRIMARY SCHOOL,1 HOLLAND GROVE ROAD   ,278790,CO-ED SCHOOL,0,0,1,0.52,0.99,1.18,1.6,0.0,24,2,5,0,10,3,5,0,1,1.9881311613286503,Tier 1,23,1.31667646178347,103.784296227747
METHODIST GIRLS' SCHOOL (PRIMARY),11 Blackmore Drive   ,599986,GIRLS' SCHOOL,0,0,0,0.43,0.99,2.51,1.54,0.0,28,2,4,2,9,2,6,1,1,1.9679244721140532,Tier 1,23,1.34947276268396,103.884971343143
MAHA BODHI SCHOOL,10 UBI AVENUE 1   ,408931,CO-ED SCHOOL,1,0,0,0.5,0.73,1.24,1.56,0.0,13,2,11,0,4,1,6,1,0,1.8360882286047877,Tier 1,22,1.32858023873554,103.901306904157
ST. HILDA'S PRIMARY SCHOOL,2 Tampines Ave 3   ,529706,CO-ED SCHOOL,0,0,1,0.6,1.21,1.72,3.3,0.0,30,2,6,1,7,2,5,1,0,1.826074547024392,Tier 1,21,1.34938565036336,103.937007133662
