School_Name,Subject_Desc
ADMIRALTY PRIMARY SCHOOL,Art
ADMIRALTY PRIMARY SCHOOL,Bengali Language
ADMIRALTY PRIMARY SCHOOL,Chinese Language
ADMIRALTY PRIMARY SCHOOL,English Language
ADMIRALTY PRIMARY SCHOOL,Foundation Chinese Language
ADMIRALTY PRIMARY SCHOOL,Foundation English Language
ADMIRALTY PRIMARY SCHOOL,Foundation Malay Language
ADMIRALTY PRIMARY SCHOOL,Foundation Mathematics
ADMIRALTY PRIMARY SCHOOL,Foundation Science
ADMIRALTY PRIMARY SCHOOL,Foundation Tamil Language
ADMIRALTY PRIMARY SCHOOL,Gujarati Language
ADMIRALTY PRIMARY SCHOOL,Higher Chinese Language
ADMIRALTY PRIMARY SCHOOL,Higher Malay Language
ADMIRALTY PRIMARY SCHOOL,Higher Tamil Language
ADMIRALTY PRIMARY SCHOOL,Hindi Language
ADMIRALTY PRIMARY SCHOOL,Malay Language
ADMIRALTY PRIMARY SCHOOL,Mathematics
ADMIRALTY PRIMARY SCHOOL,Music
ADMIRALTY PRIMARY SCHOOL,Physical Education
ADMIRALTY PRIMARY SCHOOL,Punjabi Language
ADMIRALTY PRIMARY SCHOOL,Science
ADMIRALTY PRIMARY SCHOOL,Social Studies
ADMIRALTY PRIMARY SCHOOL,Tamil Language
ADMIRALTY PRIMARY SCHOOL,Urdu Language
ADMIRALTY SECONDARY SCHOOL,Additional Mathematics
ADMIRALTY SECONDARY SCHOOL,Arabic Language as 3rd Lang
ADMIRALTY SECONDARY SCHOOL,Art
ADMIRALTY SECONDARY SCHOOL,Basic Chinese Language
ADMIRALTY SECONDARY SCHOOL,Basic Malay Language
ADMIRALTY SECONDARY SCHOOL,Basic Tamil Language
ADMIRALTY SECONDARY SCHOOL,Bengali Language
ADMIRALTY SECONDARY SCHOOL,Biology
ADMIRALTY SECONDARY SCHOOL,Burmese Language
ADMIRALTY SECONDARY SCHOOL,Chemistry
ADMIRALTY SECONDARY SCHOOL,Chinese Language
ADMIRALTY SECONDARY SCHOOL,Chinese Language (Special Programme)
ADMIRALTY SECONDARY SCHOOL,Chinese Language Syllabus B
ADMIRALTY SECONDARY SCHOOL,Computer Applications
ADMIRALTY SECONDARY SCHOOL,Computing
ADMIRALTY SECONDARY SCHOOL,Design & Technology
ADMIRALTY SECONDARY SCHOOL,Design and Technology
ADMIRALTY SECONDARY SCHOOL,Elements of Business Skills
ADMIRALTY SECONDARY SCHOOL,English Language
ADMIRALTY SECONDARY SCHOOL,Food & Consumer  Education
ADMIRALTY SECONDARY SCHOOL,Food & Consumer Education
ADMIRALTY SECONDARY SCHOOL,French Language
ADMIRALTY SECONDARY SCHOOL,Geography
ADMIRALTY SECONDARY SCHOOL,Gujarati Language
ADMIRALTY SECONDARY SCHOOL,Higher Chinese Language
ADMIRALTY SECONDARY SCHOOL,Higher Malay Language
ADMIRALTY SECONDARY SCHOOL,Higher Music
ADMIRALTY SECONDARY SCHOOL,Higher Tamil Language
ADMIRALTY SECONDARY SCHOOL,Hindi Language
ADMIRALTY SECONDARY SCHOOL,History
ADMIRALTY SECONDARY SCHOOL,Humanities (Geography)
ADMIRALTY SECONDARY SCHOOL,Humanities (History)
ADMIRALTY SECONDARY SCHOOL,Humanities (Literature in English)
ADMIRALTY SECONDARY SCHOOL,"Humanities (SS, Geography)"
ADMIRALTY SECONDARY SCHOOL,"Humanities (SS, History)"
ADMIRALTY SECONDARY SCHOOL,"Humanities (SS, Humanities Exposure Modules)"
ADMIRALTY SECONDARY SCHOOL,"Humanities (SS, Literature in English)"
ADMIRALTY SECONDARY SCHOOL,"Humanities (SS, Literature in Malay)"
ADMIRALTY SECONDARY SCHOOL,Literature in English
ADMIRALTY SECONDARY SCHOOL,Malay Language
ADMIRALTY SECONDARY SCHOOL,Mathematics
ADMIRALTY SECONDARY SCHOOL,Music
ADMIRALTY SECONDARY SCHOOL,Nutrition and Food Science
ADMIRALTY SECONDARY SCHOOL,Physical Education
ADMIRALTY SECONDARY SCHOOL,Physics
ADMIRALTY SECONDARY SCHOOL,Principles of Accounts
ADMIRALTY SECONDARY SCHOOL,Punjabi Language
ADMIRALTY SECONDARY SCHOOL,Science
ADMIRALTY SECONDARY SCHOOL,"Science (Chem, Bio)"
ADMIRALTY SECONDARY SCHOOL,"Science (Phy, Bio)"
ADMIRALTY SECONDARY SCHOOL,"Science (Phy, Chem)"
ADMIRALTY SECONDARY SCHOOL,Social Studies
ADMIRALTY SECONDARY SCHOOL,Tamil Language
ADMIRALTY SECONDARY SCHOOL,Urdu Language
AHMAD IBRAHIM PRIMARY SCHOOL,Art
AHMAD IBRAHIM PRIMARY SCHOOL,Chinese Language
AHMAD IBRAHIM PRIMARY SCHOOL,English Language
AHMAD IBRAHIM PRIMARY SCHOOL,Foundation Chinese Language
AHMAD IBRAHIM PRIMARY SCHOOL,Foundation English Language
AHMAD IBRAHIM PRIMARY SCHOOL,Foundation Malay Language
AHMAD IBRAHIM PRIMARY SCHOOL,Foundation Mathematics
AHMAD IBRAHIM PRIMARY SCHOOL,Foundation Science
AHMAD IBRAHIM PRIMARY SCHOOL,Foundation Tamil Language
AHMAD IBRAHIM PRIMARY SCHOOL,Higher Chinese Language
AHMAD IBRAHIM PRIMARY SCHOOL,Higher Malay Language
AHMAD IBRAHIM PRIMARY SCHOOL,Higher Tamil Language
AHMAD IBRAHIM PRIMARY SCHOOL,Hindi Language
AHMAD IBRAHIM PRIMARY SCHOOL,Malay Language
AHMAD IBRAHIM PRIMARY SCHOOL,Mathematics
AHMAD IBRAHIM PRIMARY SCHOOL,Music
AHMAD IBRAHIM PRIMARY SCHOOL,Physical Education
AHMAD IBRAHIM PRIMARY SCHOOL,Punjabi Language
AHMAD IBRAHIM PRIMARY SCHOOL,Science
AHMAD IBRAHIM PRIMARY SCHOOL,Social Studies
AHMAD IBRAHIM PRIMARY SCHOOL,Tamil Language
AHMAD IBRAHIM SECONDARY SCHOOL,Additional Mathematics
AHMAD IBRAHIM SECONDARY SCHOOL,Arabic Language as 3rd Lang
AHMAD IBRAHIM SECONDARY SCHOOL,Art
AHMAD IBRAHIM SECONDARY SCHOOL,Basic Chinese Language
AHMAD IBRAHIM SECONDARY SCHOOL,Basic Malay Language
AHMAD IBRAHIM SECONDARY SCHOOL,Basic Tamil Language
AHMAD IBRAHIM SECONDARY SCHOOL,Bengali Language
AHMAD IBRAHIM SECONDARY SCHOOL,Biology
AHMAD IBRAHIM SECONDARY SCHOOL,Burmese Language
AHMAD IBRAHIM SECONDARY SCHOOL,Chemistry
AHMAD IBRAHIM SECONDARY SCHOOL,Chinese Language
AHMAD IBRAHIM SECONDARY SCHOOL,Chinese Language (Special Programme)
AHMAD IBRAHIM SECONDARY SCHOOL,Chinese Language Syllabus B
AHMAD IBRAHIM SECONDARY SCHOOL,Computer Applications
AHMAD IBRAHIM SECONDARY SCHOOL,Design & Technology
AHMAD IBRAHIM SECONDARY SCHOOL,Design and Technology
AHMAD IBRAHIM SECONDARY SCHOOL,Elements of Business Skills
AHMAD IBRAHIM SECONDARY SCHOOL,English Language
AHMAD IBRAHIM SECONDARY SCHOOL,Food & Consumer  Education
AHMAD IBRAHIM SECONDARY SCHOOL,Food & Consumer Education
AHMAD IBRAHIM SECONDARY SCHOOL,French Language
AHMAD IBRAHIM SECONDARY SCHOOL,Geography
AHMAD IBRAHIM SECONDARY SCHOOL,German Language
AHMAD IBRAHIM SECONDARY SCHOOL,Gujarati Language
AHMAD IBRAHIM SECONDARY SCHOOL,Higher Chinese Language
AHMAD IBRAHIM SECONDARY SCHOOL,Higher Malay Language
AHMAD IBRAHIM SECONDARY SCHOOL,Higher Music
AHMAD IBRAHIM SECONDARY SCHOOL,Higher Tamil Language
AHMAD IBRAHIM SECONDARY SCHOOL,Hindi Language
AHMAD IBRAHIM SECONDARY SCHOOL,History
AHMAD IBRAHIM SECONDARY SCHOOL,Humanities (Geography)
AHMAD IBRAHIM SECONDARY SCHOOL,Humanities (History)
AHMAD IBRAHIM SECONDARY SCHOOL,Humanities (Literature in English)
AHMAD IBRAHIM SECONDARY SCHOOL,"Humanities (SS, Geography)"
AHMAD IBRAHIM SECONDARY SCHOOL,"Humanities (SS, History)"
AHMAD IBRAHIM SECONDARY SCHOOL,"Humanities (SS, Humanities Exposure Modules)"
AHMAD IBRAHIM SECONDARY SCHOOL,Literature in English
AHMAD IBRAHIM SECONDARY SCHOOL,Malay Language
AHMAD IBRAHIM SECONDARY SCHOOL,Malay Language Syllabus B
AHMAD IBRAHIM SECONDARY SCHOOL,Mathematics
AHMAD IBRAHIM SECONDARY SCHOOL,Music
AHMAD IBRAHIM SECONDARY SCHOOL,Music Preparatory Course
AHMAD IBRAHIM SECONDARY SCHOOL,Nutrition and Food Science
AHMAD IBRAHIM SECONDARY SCHOOL,Physical Education
AHMAD IBRAHIM SECONDARY SCHOOL,Physics
AHMAD IBRAHIM SECONDARY SCHOOL,Principles of Accounts
AHMAD IBRAHIM SECONDARY SCHOOL,Punjabi Language
AHMAD IBRAHIM SECONDARY SCHOOL,Science
AHMAD IBRAHIM SECONDARY SCHOOL,"Science (Chem, Bio)"
AHMAD IBRAHIM SECONDARY SCHOOL,"Science (Phy, Bio)"
AHMAD IBRAHIM SECONDARY SCHOOL,"Science (Phy, Chem)"
AHMAD IBRAHIM SECONDARY SCHOOL,Social Studies
AHMAD IBRAHIM SECONDARY SCHOOL,Tamil Language
AHMAD IBRAHIM SECONDARY SCHOOL,Thai Language
AHMAD IBRAHIM SECONDARY SCHOOL,Urdu Language
AI TONG SCHOOL,Art
AI TONG SCHOOL,Chinese Language
AI TONG SCHOOL,English Language
AI TONG SCHOOL,Foundation Chinese Language
AI TONG SCHOOL,Foundation English Language
AI TONG SCHOOL,Foundation Mathematics
AI TONG SCHOOL,Foundation Science
AI TONG SCHOOL,Higher Chinese Language
AI TONG SCHOOL,Malay Language
AI TONG SCHOOL,Mathematics
AI TONG SCHOOL,Music
AI TONG SCHOOL,Physical Education
AI TONG SCHOOL,Science
AI TONG SCHOOL,Social Studies
ALEXANDRA PRIMARY SCHOOL,Art
ALEXANDRA PRIMARY SCHOOL,Chinese Language
ALEXANDRA PRIMARY SCHOOL,English Language
ALEXANDRA PRIMARY SCHOOL,Foundation Chinese Language
ALEXANDRA PRIMARY SCHOOL,Foundation English Language
ALEXANDRA PRIMARY SCHOOL,Foundation Hindi Language
ALEXANDRA PRIMARY SCHOOL,Foundation Malay Language
ALEXANDRA PRIMARY SCHOOL,Foundation Mathematics
ALEXANDRA PRIMARY SCHOOL,Foundation Science
ALEXANDRA PRIMARY SCHOOL,Foundation Tamil Language
ALEXANDRA PRIMARY SCHOOL,Higher Chinese Language
ALEXANDRA PRIMARY SCHOOL,Higher Malay Language
ALEXANDRA PRIMARY SCHOOL,Higher Tamil Language
ALEXANDRA PRIMARY SCHOOL,Hindi Language
ALEXANDRA PRIMARY SCHOOL,Malay Language
ALEXANDRA PRIMARY SCHOOL,Mathematics
ALEXANDRA PRIMARY SCHOOL,Music
ALEXANDRA PRIMARY SCHOOL,Physical Education
ALEXANDRA PRIMARY SCHOOL,Punjabi Language
ALEXANDRA PRIMARY SCHOOL,Science
ALEXANDRA PRIMARY SCHOOL,Social Studies
ALEXANDRA PRIMARY SCHOOL,Tamil Language
ANCHOR GREEN PRIMARY SCHOOL,Art
ANCHOR GREEN PRIMARY SCHOOL,Bengali Language
ANCHOR GREEN PRIMARY SCHOOL,Chinese Language
ANCHOR GREEN PRIMARY SCHOOL,English Language
ANCHOR GREEN PRIMARY SCHOOL,FTGP
ANCHOR GREEN PRIMARY SCHOOL,Foundation Bengali Language
ANCHOR GREEN PRIMARY SCHOOL,Foundation Chinese Language
ANCHOR GREEN PRIMARY SCHOOL,Foundation English Language
ANCHOR GREEN PRIMARY SCHOOL,Foundation Gujarati Language
ANCHOR GREEN PRIMARY SCHOOL,Foundation Hindi Language
ANCHOR GREEN PRIMARY SCHOOL,Foundation Malay Language
ANCHOR GREEN PRIMARY SCHOOL,Foundation Mathematics
ANCHOR GREEN PRIMARY SCHOOL,Foundation Punjabi Language
ANCHOR GREEN PRIMARY SCHOOL,Foundation Science
ANCHOR GREEN PRIMARY SCHOOL,Foundation Tamil Language
ANCHOR GREEN PRIMARY SCHOOL,Foundation Urdu Language
ANCHOR GREEN PRIMARY SCHOOL,Gujarati Language
ANCHOR GREEN PRIMARY SCHOOL,Higher Chinese Language
ANCHOR GREEN PRIMARY SCHOOL,Higher Malay Language
ANCHOR GREEN PRIMARY SCHOOL,Higher Tamil Language
ANCHOR GREEN PRIMARY SCHOOL,Hindi Language
ANCHOR GREEN PRIMARY SCHOOL,Malay Language
ANCHOR GREEN PRIMARY SCHOOL,Mathematics
ANCHOR GREEN PRIMARY SCHOOL,Music
ANCHOR GREEN PRIMARY SCHOOL,Physical Education
ANCHOR GREEN PRIMARY SCHOOL,Punjabi Language
ANCHOR GREEN PRIMARY SCHOOL,Science
ANCHOR GREEN PRIMARY SCHOOL,Social Studies
ANCHOR GREEN PRIMARY SCHOOL,Tamil Language
ANCHOR GREEN PRIMARY SCHOOL,Urdu Language
ANDERSON PRIMARY SCHOOL,Art
ANDERSON PRIMARY SCHOOL,Bengali Language
ANDERSON PRIMARY SCHOOL,Chinese Language
ANDERSON PRIMARY SCHOOL,English Language
ANDERSON PRIMARY SCHOOL,Foundation Bengali Language
ANDERSON PRIMARY SCHOOL,Foundation Chinese Language
ANDERSON PRIMARY SCHOOL,Foundation English Language
ANDERSON PRIMARY SCHOOL,Foundation Gujarati Language
ANDERSON PRIMARY SCHOOL,Foundation Hindi Language
ANDERSON PRIMARY SCHOOL,Foundation Malay Language
ANDERSON PRIMARY SCHOOL,Foundation Mathematics
