school_name,P1_demand,P2A_demand,P2B_demand,P2C_demand,P2CS_demand
Admiralty Primary School,0.6,0.7,1.04,1.67,0.0
Ahmad Ibrahim Primary School,0.18,0.05,0.02,0.17,0.19
Ai Tong School,0.55,1.23,3.1,1.88,0.0
Alexandra Primary School,0.46,0.88,0.22,1.09,0.0
Anchor Green Primary School,0.36,0.18,0.0,0.15,0.34
Anderson Primary School,0.54,0.62,0.86,1.4,0.0
Ang Mo Kio Primary School,0.35,0.22,0.0,0.29,0.31
Anglo-Chinese School (Junior),0.36,0.78,2.03,1.56,0.0
Anglo-Chinese School (Primary),0.33,0.68,1.85,1.45,0.0
Angsana Primary School,0.65,1.6,0.05,2.83,0.0
Beacon Primary School,0.47,0.02,0.0,0.36,0.14
Bedok Green Primary School,0.22,0.04,0.0,0.15,0.3
Bendemeer Primary School,0.26,0.19,0.0,0.2,0.47
Blangah Rise Primary School,0.4,0.19,0.0,0.21,0.31
Boon Lay Garden Primary School,0.31,0.1,0.0,0.26,0.19
Bukit Panjang Primary School,0.55,0.77,0.77,1.28,0.0
Bukit Timah Primary School,0.35,0.08,0.0,0.79,1.62
Bukit View Primary School,0.33,0.04,0.0,0.46,1.09
CHIJ (Katong) Primary,0.38,0.32,0.3,0.66,1.39
CHIJ (Kellock),0.33,0.18,0.14,0.46,0.59
CHIJ Our Lady Queen of Peace,0.28,0.09,0.15,0.67,0.95
CHIJ Our Lady of Good Counsel,0.41,0.23,0.26,0.47,0.9
CHIJ Our Lady of the Nativity,0.33,0.22,0.73,1.13,0.0
CHIJ Primary (Toa Payoh),0.39,0.85,2.24,1.57,0.0
CHIJ St. Nicholas Girls' School (Primary Section),0.43,1.36,2.4,1.73,0.0
Canberra Primary School,0.59,0.26,0.51,1.21,0.0
Canossa Catholic Primary School,0.68,0.32,0.58,0.57,1.69
Cantonment Primary School,0.32,0.08,0.0,0.25,0.25
Casuarina Primary School,0.58,0.9,0.0,0.47,0.44
Catholic High School (Primary Section),0.48,1.5,1.75,1.8,0.0
Cedar Primary School,0.34,0.3,0.0,0.39,1.2
Changkat Primary School,0.22,0.07,0.01,0.19,0.06
Chongfu School,0.59,1.22,1.95,3.45,0.0
Chongzheng Primary School,0.39,0.35,0.23,1.02,0.0
Chua Chu Kang Primary School,0.57,0.6,0.53,1.97,0.0
Clementi Primary School,0.3,0.07,0.0,0.37,0.94
Compassvale Primary School,0.6,0.24,0.5,1.17,0.0
Concord Primary School,0.71,0.41,0.03,1.12,0.0
Corporation Primary School,0.5,0.18,0.0,0.21,0.21
Dazhong Primary School,0.51,0.72,0.0,0.9,2.33
De La Salle School,0.42,0.1,0.24,0.8,1.62
East Spring Primary School,0.29,0.17,0.0,0.33,0.16
Edgefield Primary School,0.32,0.04,0.0,0.15,0.26
Elias Park Primary School,0.73,0.78,0.0,1.74,0.0
Endeavour Primary School,0.34,0.04,0.0,0.39,0.62
Evergreen Primary School,0.62,0.13,0.0,0.68,0.81
Fairfield Methodist School (Primary),0.54,1.06,1.5,1.67,0.0
Farrer Park Primary School,0.32,0.16,0.0,0.19,0.62
Fengshan Primary School,0.52,0.88,0.0,1.35,0.0
Fern Green Primary School,0.43,0.26,0.0,0.56,0.59
Fernvale Primary School,0.47,0.17,0.02,0.46,0.45
First Toa Payoh Primary School,0.18,0.08,0.0,0.07,0.23
Frontier Primary School,0.56,1.18,1.15,1.65,0.0
Fuchun Primary School,0.57,0.33,0.0,0.5,0.06
Fuhua Primary School,0.47,0.33,0.0,0.26,0.25
Gan Eng Seng Primary School,0.31,0.11,0.0,0.15,0.08
Geylang Methodist School (Primary),0.46,0.27,0.09,1.0,0.0
Gongshang Primary School,0.63,3.03,0.85,2.66,0.0
