school_name,address,postal_code,nature_code,sap_ind,autonomous_ind,gifted_ind,P1_demand,P2A_demand,P2B_demand,P2C_demand,P2CS_demand,subject_count,distprog_count,cca_clubs,cca_others,cca_sports,cca_uniformed,cca_arts,affiliation_count,top_psle_score,school_score_raw,school_score,school_tier
NANYANG PRIMARY SCHOOL,52 KING'S ROAD   ,268097,CO-ED SCHOOL,1,0,1,0.54,1.21,2.29,1.84,0.0,15,1,8,2,8,4,8,1,1,1.8167815206559046,4.201367550009687,Tier 1
CATHOLIC HIGH SCHOOL,9 BISHAN STREET 22   ,579767,BOYS' SCHOOL,1,1,1,0.4,1.29,1.81,1.48,0.0,48,0,3,0,17,5,8,1,1,1.7993608159871715,4.161081592418543,Tier 1
CHIJ ST. NICHOLAS GIRLS' SCHOOL,501 ANG MO KIO STREET 13   ,569405,GIRLS' SCHOOL,1,1,0,0.45,1.29,2.19,1.73,0.0,46,1,11,0,8,4,11,1,1,1.6749348255724004,3.8733423609463373,Tier 1
TAO NAN SCHOOL,49 MARINE CRESCENT   ,449761,CO-ED SCHOOL,1,0,1,0.54,1.02,2.7,1.81,0.0,15,1,4,0,8,4,6,0,0,1.3262138469335756,3.0669135267671788,Tier 1
NAN HUA PRIMARY SCHOOL,30 Jalan Lempeng   ,128806,CO-ED SCHOOL,1,0,1,0.62,1.49,1.86,4.4,0.0,15,1,8,0,6,2,4,0,0,1.280733197509401,2.9617380158586855,Tier 1
AI TONG SCHOOL,100 Bright Hill Drive   ,579646,CO-ED SCHOOL,1,0,0,0.53,1.19,2.67,1.98,0.0,14,1,4,0,6,2,5,0,1,1.279954817360222,2.9599379859359067,Tier 1
ANGLO-CHINESE SCHOOL (PRIMARY),50 BARKER ROAD   ,309918,BOYS' SCHOOL,0,0,1,0.35,0.77,1.73,1.32,0.0,32,0,7,0,18,2,2,2,1,1.1104813540320486,2.5680249786098046,Tier 1
MARIS STELLA HIGH SCHOOL,25 MOUNT VERNON ROAD   ,368051,BOYS' SCHOOL,1,1,0,0.36,0.8,1.48,1.65,0.0,52,1,12,1,14,4,6,1,0,1.0920249264583128,2.525343877434027,Tier 1
ROSYTH SCHOOL,21 Serangoon North Avenue 4   ,555855,CO-ED SCHOOL,0,0,1,0.63,1.42,1.34,3.2,0.0,25,1,10,0,8,2,6,0,1,1.0638424611897839,2.460170991364752,Tier 1
HOLY INNOCENTS' PRIMARY SCHOOL,5 Lorong Low Koon   ,536451,CO-ED SCHOOL,1,0,0,0.52,1.08,2.46,2.53,0.0,14,1,7,0,6,2,4,1,0,1.0474920036119508,2.4223600156836924,Tier 1
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,7 PEI WAH AVENUE   ,597610,CO-ED SCHOOL,1,0,0,0.64,1.93,1.78,1.91,0.0,13,1,5,0,5,2,7,0,0,0.8940284230539386,2.0674703934951335,Tier 1
HENRY PARK PRIMARY SCHOOL,1 HOLLAND GROVE ROAD   ,278790,CO-ED SCHOOL,0,0,1,0.52,0.99,1.18,1.6,0.0,24,1,5,0,10,3,5,0,1,0.8608168657610663,1.9906675652468662,Tier 1
METHODIST GIRLS' SCHOOL (PRIMARY),11 Blackmore Drive   ,599986,GIRLS' SCHOOL,0,0,0,0.43,0.99,2.51,1.54,0.0,28,1,4,2,9,2,6,1,1,0.8511667182677066,1.9683512789623319,Tier 1
MAHA BODHI SCHOOL,10 UBI AVENUE 1   ,408931,CO-ED SCHOOL,1,0,0,0.5,0.73,1.24,1.56,0.0,13,1,11,0,4,1,6,1,0,0.7938213360174634,1.8357381797042045,Tier 1
ST. HILDA'S PRIMARY SCHOOL,2 Tampines Ave 3   ,529706,CO-ED SCHOOL,0,0,1,0.6,1.21,1.72,3.3,0.0,30,1,6,1,7,2,5,1,0,0.7899602779990503,1.8268093549210191,Tier 1
KONG HWA SCHOOL,350 GUILLEMARD ROAD   ,399772,CO-ED SCHOOL,1,0,0,0.5,0.7,2.0,1.81,0.0,14,1,6,0,6,2,5,0,0,0.7828330044790077,1.8103272984124634,Tier 1
RED SWASTIKA SCHOOL,350 BEDOK NORTH AVENUE 3   ,469719,CO-ED SCHOOL,1,0,0,0.55,1.24,1.41,1.94,0.0,12,1,3,0,6,2,4,0,0,0.6717952913156549,1.553548902326966,Tier 1
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,190 DUNEARN ROAD   ,309437,GIRLS' SCHOOL,0,0,0,0.42,1.12,1.43,1.52,0.0,19,1,4,0,5,1,8,1,1,0.6432692471069907,1.4875814785581714,Tier 1
PEI CHUN PUBLIC SCHOOL,16 LORONG 7 TOA PAYOH   ,319320,CO-ED SCHOOL,1,0,0,0.5,1.0,1.28,1.63,0.0,14,1,6,3,5,2,3,0,0,0.6311908030874557,1.459649675982393,Tier 1
RAFFLES GIRLS' PRIMARY SCHOOL,21 Hillcrest Road   ,289072,GIRLS' SCHOOL,0,0,1,0.32,0.4,0.68,1.28,0.0,32,1,5,0,6,2,5,0,1,0.6076495697398755,1.4052097927332383,Tier 1
ANGLO-CHINESE SCHOOL (JUNIOR),16 WINSTEDT ROAD   ,227988,BOYS' SCHOOL,0,0,0,0.36,0.78,1.85,1.33,0.0,24,3,5,0,28,2,5,2,0,0.5356423565763367,1.2386907229869204,Tier 1
POI CHING SCHOOL,21 TAMPINES STREET 71   ,529067,CO-ED SCHOOL,1,0,0,0.52,0.27,0.88,2.19,0.0,15,1,4,0,6,2,4,0,0,0.49670138624352567,1.148638436973412,Tier 1
HONG WEN SCHOOL,30 TOWNER ROAD   ,327829,CO-ED SCHOOL,1,0,0,0.54,0.5,0.83,1.98,0.0,24,1,6,0,6,0,5,0,0,0.4737367521439346,1.0955319586176464,Tier 1
NAN CHIAU PRIMARY SCHOOL,50 ANCHORVALE LINK   ,545080,CO-ED SCHOOL,0,0,0,0.54,0.38,2.42,3.07,0.0,24,1,6,2,8,2,4,0,0,0.39929445618329323,0.9233816791033866,Tier 2
PRINCESS ELIZABETH PRIMARY SCHOOL,30 BUKIT BATOK WEST AVENUE 3   ,659163,CO-ED SCHOOL,0,0,0,0.66,2.27,0.84,5.75,0.0,27,1,3,1,4,3,6,0,0,0.3992871518887117,0.9233647876797996,Tier 2
FAIRFIELD METHODIST SCHOOL (PRIMARY),100 DOVER ROAD   ,139648,CO-ED SCHOOL,0,0,0,0.55,1.05,1.8,1.8,0.0,32,1,4,0,5,3,4,1,0,0.3851440710319986,0.8906584439103488,Tier 2
SOUTH VIEW PRIMARY SCHOOL,6 Choa Chu Kang Central   ,689762,CO-ED SCHOOL,0,0,0,0.62,1.53,1.39,3.58,0.0,21,1,5,1,5,3,6,0,0,0.38404018367581577,0.8881056677705638,Tier 2
CHONGFU SCHOOL,170 YISHUN AVENUE 6   ,768959,CO-ED SCHOOL,0,0,0,0.56,0.91,1.94,2.75,0.0,24,1,5,0,6,3,5,0,0,0.37371306557365797,0.8642238644902996,Tier 2
CHIJ PRIMARY (TOA PAYOH),628 Lorong 1 Toa Payoh   ,319765,GIRLS' SCHOOL,0,0,0,0.38,0.85,1.93,1.49,0.0,26,3,4,0,14,1,6,1,0,0.3566738652542339,0.8248201483658105,Tier 2
ST. JOSEPH'S INSTITUTION JUNIOR,3 ESSEX ROAD   ,309331,BOYS' SCHOOL,0,0,0,0.34,0.49,1.91,1.27,0.0,26,1,3,0,6,1,3,2,0,0.3201781473144366,0.7404225896482307,Tier 2
RULANG PRIMARY SCHOOL,6 JURONG WEST STREET 52   ,649295,CO-ED SCHOOL,0,0,0,0.6,1.2,1.59,2.59,0.0,29,1,5,1,7,2,4,0,0,0.283228079987967,0.6549743328979877,Tier 2
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,8 BISHAN STREET 13   ,579793,CO-ED SCHOOL,0,0,0,0.57,0.72,1.33,1.48,0.0,29,1,3,2,11,2,5,1,0,0.24933177699928402,0.5765880075072851,Tier 2
