school_name,address,postal_code,nature_code,sap_ind,autonomous_ind,gifted_ind,P1_demand,P2A_demand,P2B_demand,P2C_demand,P2CS_demand,subject_count,distprog_count,cca_clubs,cca_others,cca_sports,cca_uniformed,cca_arts,affiliation_count,top_psle_score,school_score_raw,school_score,school_tier
NANYANG PRIMARY SCHOOL,52 KING'S ROAD   ,268097,CO-ED SCHOOL,1,0,1,0.54,1.21,2.29,1.84,0.0,15,2,8,2,8,4,8,1,1,1.8160156617946497,4.199362251397992,Good
CATHOLIC HIGH SCHOOL,9 BISHAN STREET 22   ,579767,BOYS' SCHOOL,1,1,1,0.4,1.29,1.81,1.48,0.0,48,2,3,0,17,5,8,1,1,1.79422660935621,4.1489771549317584,Good
CHIJ ST. NICHOLAS GIRLS' SCHOOL,501 ANG MO KIO STREET 13   ,569405,GIRLS' SCHOOL,1,1,0,0.45,1.29,2.19,1.73,0.0,46,2,11,0,8,4,11,1,1,1.6743900421171876,3.8718665730200628,Good
TAO NAN SCHOOL,49 MARINE CRESCENT   ,449761,CO-ED SCHOOL,1,0,1,0.54,1.02,2.7,1.81,0.0,15,2,4,0,8,4,6,0,0,1.326106869375685,3.0664951000877028,Good
NAN HUA PRIMARY SCHOOL,30 Jalan Lempeng   ,128806,CO-ED SCHOOL,1,0,1,0.62,1.49,1.86,4.4,0.0,15,2,8,0,6,2,4,0,0,1.280472438306958,2.960969849823806,Good
AI TONG SCHOOL,100 Bright Hill Drive   ,579646,CO-ED SCHOOL,1,0,0,0.53,1.19,2.67,1.98,0.0,14,2,4,0,6,2,5,0,1,1.2798107759348427,2.9594398189727036,Good
ANGLO-CHINESE SCHOOL (PRIMARY),50 BARKER ROAD   ,309918,BOYS' SCHOOL,0,0,1,0.35,0.77,1.73,1.32,0.0,32,0,7,0,18,2,2,2,1,1.1002104900700316,2.544131362846481,Good
MARIS STELLA HIGH SCHOOL,25 MOUNT VERNON ROAD   ,368051,BOYS' SCHOOL,1,1,0,0.36,0.8,1.48,1.65,0.0,52,2,12,1,14,4,6,1,0,1.0918992673255643,2.5249124564293495,Good
ROSYTH SCHOOL,21 Serangoon North Avenue 4   ,555855,CO-ED SCHOOL,0,0,1,0.63,1.42,1.34,3.2,0.0,25,2,10,0,8,2,6,0,1,1.062833100893741,2.4576997309696877,Good
HOLY INNOCENTS' PRIMARY SCHOOL,5 Lorong Low Koon   ,536451,CO-ED SCHOOL,1,0,0,0.52,1.08,2.46,2.53,0.0,14,4,7,0,6,2,4,1,0,1.0533373138812532,2.435741633158929,Good
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,7 PEI WAH AVENUE   ,597610,CO-ED SCHOOL,1,0,0,0.64,1.93,1.78,1.91,0.0,13,2,5,0,5,2,7,0,0,0.894426937033519,2.0682766096302587,Good
HENRY PARK PRIMARY SCHOOL,1 HOLLAND GROVE ROAD   ,278790,CO-ED SCHOOL,0,0,1,0.52,0.99,1.18,1.6,0.0,24,2,5,0,10,3,5,0,1,0.8597680101241244,1.9881311613286505,Good
METHODIST GIRLS' SCHOOL (PRIMARY),11 Blackmore Drive   ,599986,GIRLS' SCHOOL,0,0,0,0.43,0.99,2.51,1.54,0.0,28,2,4,2,9,2,6,1,1,0.8510296203663678,1.9679244721140532,Good
MAHA BODHI SCHOOL,10 UBI AVENUE 1   ,408931,CO-ED SCHOOL,1,0,0,0.5,0.73,1.24,1.56,0.0,13,2,11,0,4,1,6,1,0,0.7940169911450387,1.8360882286047875,Good
ST. HILDA'S PRIMARY SCHOOL,2 Tampines Ave 3   ,529706,CO-ED SCHOOL,0,0,1,0.6,1.21,1.72,3.3,0.0,30,2,6,1,7,2,5,1,0,0.7896865710732364,1.826074547024392,Good
KONG HWA SCHOOL,350 GUILLEMARD ROAD   ,399772,CO-ED SCHOOL,1,0,0,0.5,0.7,2.0,1.81,0.0,14,2,6,0,6,2,5,0,0,0.7831641932199268,1.8109921730544039,Good
RED SWASTIKA SCHOOL,350 BEDOK NORTH AVENUE 3   ,469719,CO-ED SCHOOL,1,0,0,0.55,1.24,1.41,1.94,0.0,12,2,3,0,6,2,4,0,0,0.6720737087957116,1.5541060698147735,Good
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,190 DUNEARN ROAD   ,309437,GIRLS' SCHOOL,0,0,0,0.42,1.12,1.43,1.52,0.0,19,2,4,0,5,1,8,1,1,0.6429907789574941,1.4868545805836875,Good
PEI CHUN PUBLIC SCHOOL,16 LORONG 7 TOA PAYOH   ,319320,CO-ED SCHOOL,1,0,0,0.5,1.0,1.28,1.63,0.0,14,2,6,3,5,2,3,0,0,0.631338493367511,1.4599097863957742,Good
RAFFLES GIRLS' PRIMARY SCHOOL,21 Hillcrest Road   ,289072,GIRLS' SCHOOL,0,0,1,0.32,0.4,0.68,1.28,0.0,32,2,5,0,6,2,5,0,1,0.6063448475375582,1.402114374697952,Good
ANGLO-CHINESE SCHOOL (JUNIOR),16 WINSTEDT ROAD   ,227988,BOYS' SCHOOL,0,0,0,0.36,0.78,1.85,1.33,0.0,24,6,5,0,28,2,5,2,0,0.5551326893992705,1.283691164907998,Good
POI CHING SCHOOL,21 TAMPINES STREET 71   ,529067,CO-ED SCHOOL,1,0,0,0.52,0.27,0.88,2.19,0.0,15,2,4,0,6,2,4,0,0,0.49682141049619505,1.148851918414757,Good
HONG WEN SCHOOL,30 TOWNER ROAD   ,327829,CO-ED SCHOOL,1,0,0,0.54,0.5,0.83,1.98,0.0,24,2,6,0,6,0,5,0,0,0.47380933729216423,1.0956387035882311,Good
NAN CHIAU PRIMARY SCHOOL,50 ANCHORVALE LINK   ,545080,CO-ED SCHOOL,0,0,0,0.54,0.38,2.42,3.07,0.0,24,4,6,2,8,2,4,0,0,0.40508535033995874,0.936721067224094,Non-Good
PRINCESS ELIZABETH PRIMARY SCHOOL,30 BUKIT BATOK WEST AVENUE 3   ,659163,CO-ED SCHOOL,0,0,0,0.66,2.27,0.84,5.75,0.0,27,2,3,1,4,3,6,0,0,0.3995490157987063,0.9239188239545228,Non-Good
FAIRFIELD METHODIST SCHOOL (PRIMARY),100 DOVER ROAD   ,139648,CO-ED SCHOOL,0,0,0,0.55,1.05,1.8,1.8,0.0,32,2,4,0,5,3,4,1,0,0.3854065571130313,0.8912157430307115,Non-Good
SOUTH VIEW PRIMARY SCHOOL,6 Choa Chu Kang Central   ,689762,CO-ED SCHOOL,0,0,0,0.62,1.53,1.39,3.58,0.0,21,2,5,1,5,3,6,0,0,0.38435112345652933,0.8887751538060628,Non-Good
CHONGFU SCHOOL,170 YISHUN AVENUE 6   ,768959,CO-ED SCHOOL,0,0,0,0.56,0.91,1.94,2.75,0.0,24,2,5,0,6,3,5,0,0,0.374047355115279,0.8649486765736824,Non-Good
CHIJ PRIMARY (TOA PAYOH),628 Lorong 1 Toa Payoh   ,319765,GIRLS' SCHOOL,0,0,0,0.38,0.85,1.93,1.49,0.0,26,4,4,0,14,1,6,1,0,0.37057316709618093,0.8569149495918117,Non-Good
ST. JOSEPH'S INSTITUTION JUNIOR,3 ESSEX ROAD   ,309331,BOYS' SCHOOL,0,0,0,0.34,0.49,1.91,1.27,0.0,26,2,3,0,6,1,3,2,0,0.3205238261990306,0.7411806432790895,Non-Good
RULANG PRIMARY SCHOOL,6 JURONG WEST STREET 52   ,649295,CO-ED SCHOOL,0,0,0,0.6,1.2,1.59,2.59,0.0,29,2,5,1,7,2,4,0,0,0.2834798863543165,0.6555200810385525,Non-Good
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,8 BISHAN STREET 13   ,579793,CO-ED SCHOOL,0,0,0,0.57,0.72,1.33,1.48,0.0,29,2,3,2,11,2,5,1,0,0.2496485627408106,0.5772883860778453,Non-Good
NORTHLAND PRIMARY SCHOOL,15 YISHUN AVENUE 4   ,769026,CO-ED SCHOOL,0,0,0,0.58,0.94,1.07,3.76,0.0,31,2,5,0,7,2,6,0,0,0.23283630577451733,0.5384116523853149,Non-Good
ST. ANTHONY'S PRIMARY SCHOOL,30 Bukit Batok St 32   ,659401,CO-ED SCHOOL,0,0,0,0.46,0.45,0.91,1.43,0.0,30,2,5,2,5,2,4,2,0,0.2231323413319231,0.515972164209939,Non-Good
GONGSHANG PRIMARY SCHOOL,1 TAMPINES STREET 42   ,529176,CO-ED SCHOOL,0,0,0,0.62,2.65,0.85,2.47,0.0,27,2,5,0,5,1,2,0,0,0.2063681787109148,0.4772066440836483,Non-Good
ADMIRALTY PRIMARY SCHOOL,11 WOODLANDS CIRCLE   ,738907,CO-ED SCHOOL,0,0,0,0.59,0.59,1.22,1.84,0.0,24,2,5,0,5,2,6,0,0,0.1503441213248426,0.3476563782424775,Non-Good
MEE TOH SCHOOL,21 EDGEDALE PLAINS   ,828867,CO-ED SCHOOL,0,0,0,0.48,0.22,0.82,1.29,0.0,28,2,8,5,5,1,7,1,0,0.13598217679118396,0.31444575732100577,Non-Good
SHUQUN PRIMARY SCHOOL,8 JURONG WEST STREET 51   ,649332,CO-ED SCHOOL,0,0,0,0.57,1.32,0.68,1.65,0.0,22,2,4,1,5,4,3,0,0,0.11485310920122328,0.2655868125931652,Non-Good
SENGKANG GREEN PRIMARY SCHOOL,15 Fernvale Road   ,797636,CO-ED SCHOOL,0,0,0,0.53,1.22,0.83,2.09,0.0,24,2,4,0,4,1,7,0,0,0.09861535454649625,0.22803856046127735,Non-Good
BUKIT PANJANG PRIMARY SCHOOL,109 CASHEW ROAD   ,679676,CO-ED SCHOOL,0,0,0,0.57,0.85,0.88,1.65,0.0,25,2,5,1,7,2,5,0,0,0.0926223926896686,0.21418041026737453,Non-Good
TEMASEK PRIMARY SCHOOL,501 BEDOK SOUTH AVE 3   ,469300,CO-ED SCHOOL,0,0,0,0.61,1.71,0.51,2.26,0.0,27,2,5,0,5,2,3,0,0,0.09178180513561299,0.212236632073299,Non-Good
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),298 LORONG AH SOO   ,536741,GIRLS' SCHOOL,0,0,0,0.35,0.48,0.92,1.27,0.0,29,2,5,1,7,1,5,1,0,0.08927112105778588,0.20643091565607719,Non-Good
ANDERSON PRIMARY SCHOOL,19 ANG MO KIO AVE 9   ,569785,CO-ED SCHOOL,0,0,0,0.57,0.63,0.73,1.27,0.0,30,2,4,0,4,2,11,0,0,0.0873175437246467,0.20191345521751236,Non-Good
RADIN MAS PRIMARY SCHOOL,1 BUKIT PURMEI AVENUE   ,99840,CO-ED SCHOOL,0,0,0,0.55,0.88,0.95,1.74,0.0,29,2,4,2,5,3,3,0,0,0.0832101922683515,0.19241559844146158,Non-Good
XINMIN PRIMARY SCHOOL,9 HOUGANG AVENUE 8   ,538784,CO-ED SCHOOL,0,0,0,0.55,0.84,0.96,1.7,0.0,29,2,3,1,4,3,4,0,0,0.07458890410634171,0.17247969544919867,Non-Good
WELLINGTON PRIMARY SCHOOL,10 WELLINGTON CIRCLE   ,757702,CO-ED SCHOOL,0,0,0,0.6,1.08,0.59,2.18,0.0,29,2,5,0,5,1,7,0,0,0.0684285625327796,0.15823449569460551,Non-Good
FRONTIER PRIMARY SCHOOL,20 Jurong West Street 61   ,648200,CO-ED SCHOOL,0,0,0,0.54,1.21,0.84,1.71,0.0,24,2,3,1,5,2,4,0,0,0.061353274514260356,0.1418735699339895,Non-Good
PASIR RIS PRIMARY SCHOOL,5 PASIR RIS STREET 21   ,518968,CO-ED SCHOOL,0,0,0,0.69,1.0,1.01,1.68,0.0,30,2,4,1,13,0,3,0,0,0.05508459577191104,0.12737785085481151,Non-Good
